occurrences,airline
"879942","Southwest Airlines Co."
"830426","American Airlines Inc."
"823578","United Air Lines Inc."
"694396","Delta Air Lines Inc."
"494611","US Airways Inc."
"427817","ExpressJet Airlines Inc."
"379600","SkyWest Airlines Inc."
"338054","Continental Air Lines Inc."
"331306","Envoy Air"
"328390","Northwest Airlines Inc."
"191498","ExpressJet Airlines Inc. (1)"
"178193","JetBlue Airways"
"128584","Alaska Airlines Inc."
"123129","Trans World Airways LLC"
"120244","AirTran Airways Corporation"
"117113","America West Airlines Inc. (Me"
"103516","Mesa Airlines Inc."
"89514","PSA Airlines Inc."
"59243","Endeavor Air Inc."
"47199","Frontier Airlines Inc."
"44962","Independence Air"
"35667","Eastern Air Lines Inc."
"23429","Piedmont Aviation Inc."
"22708","Spirit Air Lines"
"18598","Virgin America"
"8893","ATA Airlines d/b/a ATA"
"7714","Hawaiian Airlines Inc."
"7342","Pan American World Airways (1)"
"2835","Ukraine International Airlines"
"1563","Midway Airlines Inc. (1)"
"1007","Aloha Air Cargo"
